1348996.049,448998.3252,495
1378688.137,380202.5146,1453
1361047.874,372715.0023,1391
1368497.481,403266.2728,1212
1380376.523,387028.2962,634
1350570.965,397689.3307,585
1376268.008,393129.7987,717
1343445.637,390613.7777,983
1404122.069,357267.9,390
1329077.659,437141.9351,263
1414789.941,476819.7957,565
1415499.11,385227.0276,359
1432445.833,382607.1869,741
1420819.51,349618.3576,704
1410999.698,438657.1135,1330
1442020.75,406472.8071,1068
1391629.442,462919.8222,991
1449594.19,473884.7845,770
1365101.095,391922.6181,583
1419885.379,375069.2598,1015
1340396.819,421266.3675,916
1314023.36,439226.3307,1193
1359012.047,388289.82,1766
1360407.799,471013.424,2724
1367277.772,442687.127,1295
1358548.496,435730.1593,455
1427925.913,413619.8145,1186
1368937.368,429156.7253,443
1371047.658,491083.5852,1543
1395554.975,420434.6373,924
1367002.638,415553.4301,1494
1439269.359,434101.0045,1194
1318379.614,456824.6227,664
1417896.07,441223.7509,410
1384771.538,442672.7616,1322
1406791.418,370341.9193,711
1326216.704,388168.5252,967
1375993.338,360362.4508,602
1435416.694,448773.9281,414
1400719.293,391718.19,432
1347976.013,430060.8121,512
1386044.182,363826.8935,923
1353061.814,373263.2577,1394
1307724.974,415416.3525,1034
1408290.708,389138.728,959
1421568.103,406662.1246,238
1407697.837,402595.506,1381
